county,fiscal_year,department,category,account_code,amount,certified_av,certified_levy,certified_rate,notes
"Pike County, IN",2025,PIKE COUNTY,GENERAL,0101,8683606.0,805748671.0,7765806.0,0.9638,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,ELECTION/REGISTRATION,0102,27625.0,805748671.0,27395.0,0.0034,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,2015 REASSESSMENT,0124,294354.0,805748671.0,219969.0,0.0273,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,HIGHWAY,0702,2512422.0,805748671.0,0.0,0.0,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,LOCAL ROAD & STREET,0706,235000.0,805748671.0,0.0,0.0,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,CUMULATIVE BRIDGE,0790,343132.0,805748671.0,307796.0,0.0382,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,HEALTH,0801,246272.0,805748671.0,219969.0,0.0273,textmode page=4
"Pike County, IN",2025,PIKE COUNTY,PARK & RECREATION,1301,747113.0,805748671.0,215941.0,0.0268,textmode page=4
"Pike County, IN",2025,CLAY TOWNSHIP,GENERAL,0101,25000.0,37612612.0,26366.0,0.0701,textmode page=6
"Pike County, IN",2025,CLAY TOWNSHIP,TOWNSHIP ASSISTANCE,0840,6100.0,37612612.0,0.0,0.0,textmode page=6
"Pike County, IN",2025,JEFFERSON TOWNSHIP,GENERAL,0101,38885.0,132627335.0,44828.0,0.0338,textmode page=7
"Pike County, IN",2025,JEFFERSON TOWNSHIP,TOWNSHIP ASSISTANCE,0840,10000.0,132627335.0,6897.0,0.0052,textmode page=7
"Pike County, IN",2025,LOCKHART TOWNSHIP,GENERAL,0101,30625.0,60480739.0,29817.0,0.0493,textmode page=8
"Pike County, IN",2025,LOCKHART TOWNSHIP,TOWNSHIP ASSISTANCE,0840,3107.0,60480739.0,1996.0,0.0033,textmode page=8
"Pike County, IN",2025,LOCKHART TOWNSHIP,TOWNSHIP FIRE AND E.M.S.,1111,24000.0,60480739.0,24132.0,0.0399,textmode page=8
"Pike County, IN",2025,LOGAN TOWNSHIP,RAINY DAY,0061,2350.0,29387119.0,0.0,0.0,textmode page=9
"Pike County, IN",2025,LOGAN TOWNSHIP,GENERAL,0101,17570.0,29387119.0,17779.0,0.0605,textmode page=9
"Pike County, IN",2025,LOGAN TOWNSHIP,TOWNSHIP ASSISTANCE,0840,3000.0,29387119.0,0.0,0.0,textmode page=9
"Pike County, IN",2025,LOGAN TOWNSHIP,TOWNSHIP FIRE AND E.M.S.,1111,3000.0,29387119.0,5055.0,0.0172,textmode page=9
"Pike County, IN",2025,MADISON TOWNSHIP,GENERAL,0101,30550.0,35354861.0,28072.0,0.0794,textmode page=10
"Pike County, IN",2025,MADISON TOWNSHIP,TOWNSHIP ASSISTANCE,0840,3500.0,35354861.0,0.0,0.0,textmode page=10
"Pike County, IN",2025,MARION TOWNSHIP,GENERAL,0101,14510.0,42981572.0,19557.0,0.0455,textmode page=11
"Pike County, IN",2025,MARION TOWNSHIP,TOWNSHIP ASSISTANCE,0840,5000.0,42981572.0,989.0,0.0023,textmode page=11
"Pike County, IN",2025,MONROE TOWNSHIP,GENERAL,0101,21402.0,49945160.0,24373.0,0.0488,textmode page=12
"Pike County, IN",2025,MONROE TOWNSHIP,TOWNSHIP ASSISTANCE,0840,9500.0,49945160.0,3996.0,0.008,textmode page=12
"Pike County, IN",2025,MONROE TOWNSHIP,TOWNSHIP FIRE AND E.M.S.,1111,20000.0,46547319.0,26439.0,0.0568,textmode page=12
"Pike County, IN",2025,MONROE TOWNSHIP,RECREATION,1312,5000.0,49945160.0,7492.0,0.015,textmode page=12
"Pike County, IN",2025,PATOKA TOWNSHIP,RAINY DAY,0061,5000.0,97710467.0,0.0,0.0,textmode page=13
"Pike County, IN",2025,PATOKA TOWNSHIP,GENERAL,0101,19595.0,97710467.0,17979.0,0.0184,textmode page=13
"Pike County, IN",2025,PATOKA TOWNSHIP,TOWNSHIP ASSISTANCE,0840,25815.0,97710467.0,11921.0,0.0122,textmode page=13
"Pike County, IN",2025,PATOKA TOWNSHIP,RECREATION,1312,5250.0,97710467.0,4983.0,0.0051,textmode page=13
"Pike County, IN",2025,WASHINGTON TOWNSHIP,GENERAL,0101,119029.0,319648806.0,104845.0,0.0328,textmode page=14
"Pike County, IN",2025,WASHINGTON TOWNSHIP,TOWNSHIP ASSISTANCE,0840,83700.0,319648806.0,29727.0,0.0093,textmode page=14
"Pike County, IN",2025,PETERSBURG CIVIL CITY,RAINY DAY,0061,100000.0,64814721.0,0.0,0.0,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,GENERAL,0101,854899.0,64814721.0,871758.0,1.345,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,POLICE PENSION,0342,9000.0,64814721.0,4991.0,0.0077,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,LOCAL ROAD & STREET,0706,17758.0,64814721.0,0.0,0.0,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,MOTOR VEHICLE HIGHWAY,0708,129100.0,64814721.0,36944.0,0.057,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,PARK,1303,36809.0,64814721.0,44981.0,0.0694,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,CUMULATIVE CAPITAL,2391,27000.0,64814721.0,22880.0,0.0353,textmode page=15
"Pike County, IN",2025,PETERSBURG CIVIL CITY,SPECIAL FIRE PROTECTION,8604,109095.0,319648806.0,98771.0,0.0309,textmode page=15
"Pike County, IN",2025,SPURGEON CIVIL TOWN,RAINY DAY,0061,300.0,3397841.0,0.0,0.0,textmode page=17
"Pike County, IN",2025,SPURGEON CIVIL TOWN,GENERAL,0101,32910.0,3397841.0,20825.0,0.6129,textmode page=17
"Pike County, IN",2025,SPURGEON CIVIL TOWN,LOCAL ROAD & STREET,0706,5000.0,3397841.0,0.0,0.0,textmode page=17
"Pike County, IN",2025,SPURGEON CIVIL TOWN,MOTOR VEHICLE HIGHWAY,0708,33450.0,3397841.0,3000.0,0.0883,textmode page=17
"Pike County, IN",2025,SPURGEON CIVIL TOWN,MUNICIPAL FIRE,1108,42200.0,3397841.0,0.0,0.0,textmode page=17
"Pike County, IN",2025,SPURGEON CIVIL TOWN,CUMULATIVE CAPITAL,2391,6768.0,3397841.0,982.0,0.0289,textmode page=17
"Pike County, IN",2025,WINSLOW CIVIL TOWN,RAINY DAY,0061,250.0,16068819.0,0.0,0.0,textmode page=18
"Pike County, IN",2025,WINSLOW CIVIL TOWN,GENERAL,0101,160407.0,16068819.0,213812.0,1.3306,textmode page=18
"Pike County, IN",2025,WINSLOW CIVIL TOWN,LOCAL ROAD & STREET,0706,17855.0,16068819.0,0.0,0.0,textmode page=18
"Pike County, IN",2025,WINSLOW CIVIL TOWN,MOTOR VEHICLE HIGHWAY,0708,50057.0,16068819.0,0.0,0.0,textmode page=18
"Pike County, IN",2025,WINSLOW CIVIL TOWN,CUMULATIVE CAPITAL,2391,10000.0,16068819.0,3342.0,0.0208,textmode page=18
"Pike County, IN",2025,PIKE COUNTY SCHOOL CORPORATION,RAINY DAY,0061,0.0,805748671.0,0.0,0.0,textmode page=19
"Pike County, IN",2025,PIKE COUNTY SCHOOL CORPORATION,DEBT SERVICE,0180,1994525.0,805748671.0,2171493.0,0.2695,textmode page=19
"Pike County, IN",2025,PIKE COUNTY SCHOOL CORPORATION,EDUCATION,3101,15121716.0,805748671.0,0.0,0.0,textmode page=19
"Pike County, IN",2025,PIKE COUNTY SCHOOL CORPORATION,OPERATIONS,3300,7509430.0,805748671.0,7207422.0,0.8945,textmode page=19
"Pike County, IN",2025,PIKE COUNTY PUBLIC LIBRARY,GENERAL,0101,785745.0,805748671.0,828310.0,0.1028,textmode page=20
"Pike County, IN",2025,PATOKA TOWNSHIP FIRE,SPECIAL FIRE GENERAL,8603,186930.0,81713528.0,202895.0,0.2483,textmode page=21
"Pike County, IN",2025,JEFFERSON-MARION TOWNSHIP FIRE,DEBT SERVICE,0180,55670.0,175644973.0,51815.0,0.0295,textmode page=22
"Pike County, IN",2025,JEFFERSON-MARION TOWNSHIP FIRE,SPECIAL FIRE GENERAL,8603,171390.0,175644973.0,130329.0,0.0742,textmode page=22
"Pike County, IN",2025,PIKE COUNTY SOLID WASTE DISTRICT,SPECIAL SOLID WASTE,8210,308777.0,805748671.0,0.0,0.0,textmode page=23
"Pike County, IN",2025,UPPER PATOKA RIVER CONSERVANCY DISTRICT,GENERAL,0101,0.0,4706000.0,8612.0,0.183,textmode page=24
"Pike County, IN",2025,UPPER PATOKA RIVER CONSERVANCY DISTRICT,CUMULATIVE CHANNEL,0990,0.0,4706000.0,0.0,0.0,textmode page=24
"Pike County, IN",2025,LOWER PATOKA RIVER CONSERVANCY,GENERAL,0101,0.0,16142.0,0.0,0.0,textmode page=25
"Pike County, IN",2025,PRIDES CREEK CONSERVANCY,GENERAL,0101,96603.0,193271200.0,90837.0,0.047,textmode page=26
